variable,count,mean,std,min,25%,50%,75%,max
life_expectancy,2319.0,69.25545493747305,9.70254470803887,36.3,63.0,72.2,75.9,89.0
schooling,2319.0,12.072401897369556,3.333035530936957,0.0,10.1,12.4,14.4,20.7
log1p_gdp,2319.0,7.455001302345985,1.8872069871032568,0.986320399036006,6.124108430914768,7.4581042502953085,8.67919621928205,11.688337722433907
total_expenditure,2319.0,5.864570935748167,2.3966172367526757,0.37,4.22,5.73,7.53,14.39
polio,2319.0,82.52996981457525,23.210256159351086,3.0,78.0,93.0,97.0,99.0
log1p_hiv_aids,2319.0,0.5399795189564187,0.806288495133883,0.0953101798043248,0.0953101798043248,0.0953101798043248,0.6418538861723948,3.943521672487517
