model,variable,variable_label,coefficient,std_error,ci_lower_95,ci_upper_95,p_value,observations,countries,year_start,year_end,country_fixed_effects,year_fixed_effects,standard_errors,r_squared,adjusted_r_squared
L1_one_year_lagged_two_way_fe,lag1_schooling,Schooling (t-1),0.10185585519497511,0.11314729838139692,-0.11990877458057,0.3236204849705202,0.3680107357379593,2317,157,2001,2015,True,True,cluster_country,0.9586178658514586,0.9552562919290281
L1_one_year_lagged_two_way_fe,lag1_log1p_gdp,log(1 + GDP) (t-1),-0.00322886363757974,0.03808776828858795,-0.07787951773471889,0.07142179045955942,0.9324408309792029,2317,157,2001,2015,True,True,cluster_country,0.9586178658514586,0.9552562919290281
L1_one_year_lagged_two_way_fe,lag1_total_expenditure,Total expenditure (t-1),-0.0034514905051511047,0.044666613785589566,-0.09099644483626694,0.08409346382596473,0.9384069526764983,2317,157,2001,2015,True,True,cluster_country,0.9586178658514586,0.9552562919290281
L1_one_year_lagged_two_way_fe,lag1_polio,Polio coverage (t-1),0.0049275357490999195,0.0035358065001478037,-0.0020025176474923927,0.01185758914569223,0.1634353684501093,2317,157,2001,2015,True,True,cluster_country,0.9586178658514586,0.9552562919290281
