,life_expectancy,schooling,income_composition_of_resources,gdp_analysis,total_expenditure,polio,hiv_aids,alcohol,bmi_analysis
life_expectancy,1.0,0.751975462736697,0.7247759785960621,0.4614551926207386,0.21808637369167086,0.46555580597719926,-0.5565562534006924,0.4048767611266017,0.5690651301725342
schooling,0.751975462736697,1.0,0.8000924203919627,0.4482728294507217,0.24638429894996725,0.4178664084345088,-0.22042871642992357,0.5473783793616646,0.5486752701086668
income_composition_of_resources,0.7247759785960621,0.8000924203919627,1.0,0.4603414790172697,0.16668204531571565,0.381077721327668,-0.24951949663316622,0.45003970648260144,0.5096545164611974
gdp_analysis,0.4614551926207386,0.4482728294507217,0.4603414790172697,1.0,0.13836422219407724,0.21197556616324292,-0.13649081864800208,0.35471208637085744,0.3036554526936631
total_expenditure,0.21808637369167086,0.24638429894996725,0.16668204531571565,0.13836422219407724,1.0,0.1373302493125218,-0.001388835892934062,0.2969415602007341,0.24291933493702025
polio,0.46555580597719926,0.4178664084345088,0.381077721327668,0.21197556616324292,0.1373302493125218,1.0,-0.15955954190388033,0.22173379729518972,0.2846483668562385
hiv_aids,-0.5565562534006924,-0.22042871642992357,-0.24951949663316622,-0.13649081864800208,-0.001388835892934062,-0.15955954190388033,1.0,-0.04884456277876293,-0.2448253269766383
alcohol,0.4048767611266017,0.5473783793616646,0.45003970648260144,0.35471208637085744,0.2969415602007341,0.22173379729518972,-0.04884456277876293,1.0,0.32939071702113093
bmi_analysis,0.5690651301725342,0.5486752701086668,0.5096545164611974,0.3036554526936631,0.24291933493702025,0.2846483668562385,-0.2448253269766383,0.32939071702113093,1.0
