model,variable,variable_label,coefficient,std_error,ci_lower_95,ci_upper_95,p_value,observations,countries,year_start,year_end,country_fixed_effects,year_fixed_effects,standard_errors,r_squared,adjusted_r_squared
R1_main_cleaned,schooling,Schooling,0.13400051407453825,0.1228390116331413,-0.10675952462291544,0.37476055277199194,0.2753332369282422,2319,157,2000,2015,True,True,cluster_country,0.9593309972062598,0.9560099167168037
R1_main_cleaned,log1p_gdp,log(1 + GDP),-0.015746270743002513,0.037192280526660744,-0.08864180107816796,0.05714925959216294,0.6720218981889804,2319,157,2000,2015,True,True,cluster_country,0.9593309972062598,0.9560099167168037
R1_main_cleaned,total_expenditure,Total expenditure,-0.03373195729101535,0.04485618740274104,-0.12164846908416707,0.05418455450213636,0.4520496596161919,2319,157,2000,2015,True,True,cluster_country,0.9593309972062598,0.9560099167168037
R1_main_cleaned,polio,Polio coverage,0.004902350236731787,0.00336485964825258,-0.0016926534868753852,0.01149735396033896,0.14513691244199162,2319,157,2000,2015,True,True,cluster_country,0.9593309972062598,0.9560099167168037
R2_exclude_clearly_invalid_rows,schooling,Schooling,0.1365167437686079,0.12293759364876593,-0.10443651212899341,0.3774699996662092,0.2668027350564486,2301,157,2000,2015,True,True,cluster_country,0.9585783063889314,0.9551671080915493
R2_exclude_clearly_invalid_rows,log1p_gdp,log(1 + GDP),-0.022029444124276893,0.03723675083624833,-0.09501213466461535,0.05095324641606157,0.5541151942397567,2301,157,2000,2015,True,True,cluster_country,0.9585783063889314,0.9551671080915493
R2_exclude_clearly_invalid_rows,total_expenditure,Total expenditure,-0.03688910524520193,0.044928464708734656,-0.12494727795500071,0.05116906746459685,0.4116103177655249,2301,157,2000,2015,True,True,cluster_country,0.9585783063889314,0.9551671080915493
R2_exclude_clearly_invalid_rows,polio,Polio coverage,0.0047619049073624065,0.003361285689510868,-0.001826093985828777,0.01134990380055359,0.15657313961960942,2301,157,2000,2015,True,True,cluster_country,0.9585783063889314,0.9551671080915493
R3_exclude_invalid_and_unresolved,schooling,Schooling,0.12345708360755776,0.11958242226013045,-0.11092015720635877,0.3578343244214743,0.30188402454927443,2266,157,2000,2015,True,True,cluster_country,0.9584841565178737,0.9550079495277435
R3_exclude_invalid_and_unresolved,log1p_gdp,log(1 + GDP),-0.018878486875576556,0.037716264950964924,-0.09280100781083815,0.05504403405968504,0.6166951293613395,2266,157,2000,2015,True,True,cluster_country,0.9584841565178737,0.9550079495277435
R3_exclude_invalid_and_unresolved,total_expenditure,Total expenditure,-0.036845600248498964,0.04231884111568314,-0.11978900470271076,0.04609780420571283,0.38393623665487064,2266,157,2000,2015,True,True,cluster_country,0.9584841565178737,0.9550079495277435
R3_exclude_invalid_and_unresolved,polio,Polio coverage,0.004863357103612664,0.003426342511838051,-0.0018521508182884191,0.011578865025513748,0.15578187607454744,2266,157,2000,2015,True,True,cluster_country,0.9584841565178737,0.9550079495277435
R4_untransformed_gdp,schooling,Schooling,0.13100717324969294,0.12177096155474988,-0.10765952576042837,0.36967387225981424,0.28199477165716325,2319,157,2000,2015,True,True,cluster_country,0.9593548056108878,0.9560356693448614
R4_untransformed_gdp,gdp_analysis,GDP (untransformed analysis copy),-5.638351915109561e-06,6.1212980790668416e-06,-1.7635875688714788e-05,6.359171858495665e-06,0.35699615175236443,2319,157,2000,2015,True,True,cluster_country,0.9593548056108878,0.9560356693448614
