variable,country,missing_count,missing_rate
adult_mortality,San Marino,1,1.0
adult_mortality,Sao Tome and Principe,0,0.0
adult_mortality,Saudi Arabia,0,0.0
adult_mortality,Senegal,0,0.0
adult_mortality,Serbia,0,0.0
adult_mortality,Seychelles,0,0.0
adult_mortality,Sierra Leone,0,0.0
adult_mortality,Singapore,0,0.0
adult_mortality,Slovakia,0,0.0
adult_mortality,Slovenia,0,0.0
adult_mortality,Solomon Islands,0,0.0
adult_mortality,Somalia,0,0.0
adult_mortality,South Africa,0,0.0
adult_mortality,South Sudan,0,0.0
adult_mortality,Spain,0,0.0
adult_mortality,Sri Lanka,0,0.0
adult_mortality,Sudan,0,0.0
adult_mortality,Suriname,0,0.0
adult_mortality,Swaziland,0,0.0
adult_mortality,Sweden,0,0.0
adult_mortality,Switzerland,0,0.0
adult_mortality,Syrian Arab Republic,0,0.0
adult_mortality,Tajikistan,0,0.0
adult_mortality,Thailand,0,0.0
adult_mortality,The former Yugoslav republic of Macedonia,0,0.0
adult_mortality,Timor-Leste,0,0.0
adult_mortality,Togo,0,0.0
adult_mortality,Tonga,0,0.0
adult_mortality,Trinidad and Tobago,0,0.0
adult_mortality,Tunisia,0,0.0
adult_mortality,Turkey,0,0.0
adult_mortality,Turkmenistan,0,0.0
adult_mortality,Tuvalu,1,1.0
adult_mortality,Uganda,0,0.0
adult_mortality,Ukraine,0,0.0
adult_mortality,United Arab Emirates,0,0.0
adult_mortality,United Kingdom of Great Britain and Northern Ireland,0,0.0
adult_mortality,United Republic of Tanzania,0,0.0
adult_mortality,United States of America,0,0.0
adult_mortality,Uruguay,0,0.0
adult_mortality,Uzbekistan,0,0.0
adult_mortality,Vanuatu,0,0.0
adult_mortality,Venezuela (Bolivarian Republic of),0,0.0
adult_mortality,Viet Nam,0,0.0
adult_mortality,Yemen,0,0.0
adult_mortality,Zambia,0,0.0
adult_mortality,Zimbabwe,0,0.0
alcohol,Afghanistan,0,0.0
alcohol,Albania,0,0.0
alcohol,Algeria,1,0.0625
alcohol,Angola,1,0.0625
alcohol,Antigua and Barbuda,1,0.0625
