variable,observations,countries,overall_sd,between_country_sd,within_country_sd
life_expectancy,2928,183,9.523867487824301,9.18643173288443,2.597306329800813
schooling,2775,180,3.3589197211023563,3.3362880911616246,1.2077460058157123
income_composition_of_resources,2771,176,0.21090355515159298,0.18283855392619258,0.10457443575184082
gdp_analysis,2490,163,14270.169341515977,10684.400474286993,9292.340687251652
total_expenditure,2712,191,2.4983196721556316,2.211022928102999,1.5834626673736079
polio,2919,193,23.428045949468498,16.71167817222304,17.230263760427235
hiv_aids,2938,193,5.077784531086548,4.3457112738796795,2.4822677655985026
alcohol,2744,191,4.052412658755661,3.879682127486064,1.2893418003189667
bmi_analysis,2900,189,20.024683619271798,17.721603518598815,11.901355122476328
