year,mean,count,std
2000,66.75027322404371,183,10.29552807176916
2001,67.12896174863388,183,10.189629640610818
2002,67.35136612021857,183,10.062468936125677
2003,67.43333333333332,183,10.127681212396388
2004,67.6464480874317,183,10.126408514498618
2005,68.20928961748633,183,9.799516193386898
2006,68.66775956284154,183,9.815170972356904
2007,69.0360655737705,183,9.618583766127221
2008,69.42786885245901,183,9.2026118691095
2009,69.93825136612023,183,8.989124149183558
2010,70.04863387978142,183,9.302958633265677
2011,70.65409836065574,183,8.925040224069637
2012,70.91693989071038,183,8.56215076654892
2013,71.23606557377049,183,8.413771405879869
2014,71.53661202185793,183,8.560831035534784
2015,71.61693989071038,183,8.123706147645306
