variable,year,missing_count,missing_rate
life_expectancy,2006,0,0.0
life_expectancy,2007,0,0.0
life_expectancy,2008,0,0.0
life_expectancy,2009,0,0.0
life_expectancy,2010,0,0.0
life_expectancy,2011,0,0.0
life_expectancy,2012,0,0.0
life_expectancy,2013,10,0.05181347150259067
life_expectancy,2014,0,0.0
life_expectancy,2015,0,0.0
measles,2000,0,0.0
measles,2001,0,0.0
measles,2002,0,0.0
measles,2003,0,0.0
measles,2004,0,0.0
measles,2005,0,0.0
measles,2006,0,0.0
measles,2007,0,0.0
measles,2008,0,0.0
measles,2009,0,0.0
measles,2010,0,0.0
measles,2011,0,0.0
measles,2012,0,0.0
measles,2013,0,0.0
measles,2014,0,0.0
measles,2015,0,0.0
percentage_expenditure,2000,0,0.0
percentage_expenditure,2001,0,0.0
percentage_expenditure,2002,0,0.0
percentage_expenditure,2003,0,0.0
percentage_expenditure,2004,0,0.0
percentage_expenditure,2005,0,0.0
percentage_expenditure,2006,0,0.0
percentage_expenditure,2007,0,0.0
percentage_expenditure,2008,0,0.0
percentage_expenditure,2009,0,0.0
percentage_expenditure,2010,0,0.0
percentage_expenditure,2011,0,0.0
percentage_expenditure,2012,0,0.0
percentage_expenditure,2013,0,0.0
percentage_expenditure,2014,0,0.0
percentage_expenditure,2015,0,0.0
polio,2000,3,0.01639344262295082
polio,2001,3,0.01639344262295082
polio,2002,2,0.01092896174863388
polio,2003,2,0.01092896174863388
polio,2004,2,0.01092896174863388
polio,2005,2,0.01092896174863388
polio,2006,1,0.00546448087431694
polio,2007,1,0.00546448087431694
polio,2008,1,0.00546448087431694
polio,2009,1,0.00546448087431694
polio,2010,1,0.00546448087431694
polio,2011,0,0.0
polio,2012,0,0.0
polio,2013,0,0.0
polio,2014,0,0.0
polio,2015,0,0.0
population,2000,40,0.2185792349726776
population,2001,40,0.2185792349726776
population,2002,40,0.2185792349726776
population,2003,40,0.2185792349726776
population,2004,40,0.2185792349726776
population,2005,40,0.2185792349726776
population,2006,40,0.2185792349726776
population,2007,40,0.2185792349726776
population,2008,40,0.2185792349726776
population,2009,40,0.2185792349726776
population,2010,40,0.2185792349726776
population,2011,40,0.2185792349726776
population,2012,41,0.22404371584699453
population,2013,49,0.2538860103626943
population,2014,41,0.22404371584699453
population,2015,41,0.22404371584699453
schooling,2000,10,0.0546448087431694
schooling,2001,10,0.0546448087431694
schooling,2002,10,0.0546448087431694
schooling,2003,10,0.0546448087431694
schooling,2004,10,0.0546448087431694
schooling,2005,10,0.0546448087431694
schooling,2006,10,0.0546448087431694
schooling,2007,10,0.0546448087431694
schooling,2008,10,0.0546448087431694
schooling,2009,10,0.0546448087431694
schooling,2010,10,0.0546448087431694
schooling,2011,10,0.0546448087431694
schooling,2012,10,0.0546448087431694
schooling,2013,13,0.06735751295336788
schooling,2014,10,0.0546448087431694
schooling,2015,10,0.0546448087431694
thinness_1_19_years,2000,2,0.01092896174863388
thinness_1_19_years,2001,2,0.01092896174863388
thinness_1_19_years,2002,2,0.01092896174863388
thinness_1_19_years,2003,2,0.01092896174863388
thinness_1_19_years,2004,2,0.01092896174863388
thinness_1_19_years,2005,2,0.01092896174863388
thinness_1_19_years,2006,2,0.01092896174863388
thinness_1_19_years,2007,2,0.01092896174863388
thinness_1_19_years,2008,2,0.01092896174863388
