country,year,life_expectancy,fitted,residual,studentized_residual,cooks_distance,influential_rule_4_over_n
Bosnia and Herzegovina,2000,74.6,48.775932684979345,25.82406731502065,4.4018598601926415,0.048156332121902616,True
Antigua and Barbuda,2005,74.6,51.955912679864646,22.64408732013535,3.8627304041995774,0.04745114597804497,True
Antigua and Barbuda,2003,74.2,51.84299954039997,22.35700045960003,3.81297721330834,0.04552370208317572,True
Antigua and Barbuda,2002,74.0,51.44635845955369,22.553641540446307,3.8454556391905275,0.04433513307942445,True
Antigua and Barbuda,2001,73.8,51.806073408722625,21.993926591277372,3.750483791074712,0.043764110502891924,True
Antigua and Barbuda,2000,73.6,51.712613683586916,21.887386316413078,3.731805436932764,0.042730965296326,True
Antigua and Barbuda,2004,74.4,49.68123254733201,24.718767452667997,4.210165988663442,0.04104305890649095,True
Turkmenistan,2000,63.8,48.99066181526494,14.809338184735054,2.51499348366092,0.01350446669514295,True
Sierra Leone,2000,39.0,54.5223470272491,-15.522347027249097,-2.6334219190306474,0.011617110318017201,True
Costa Rica,2009,79.2,65.04826665592232,14.151733344077684,2.3995196376909527,0.008912856923810298,True
Costa Rica,2000,77.6,62.173255215656766,15.426744784343228,2.614193791905914,0.008348954855371933,True
Sierra Leone,2003,41.5,57.79760949712333,-16.297609497123332,-2.7606866712402307,0.007590600008833157,True
Haiti,2010,36.3,61.066270511448764,-24.766270511448766,-4.198148662316736,0.007288107495587548,True
Sierra Leone,2001,41.0,55.228846592577,-14.228846592577,-2.4108451111879905,0.007274649572899809,True
Sierra Leone,2005,43.3,58.56902566112297,-15.269025661122974,-2.586467395068447,0.007219418362135782,True
Sierra Leone,2004,42.3,58.32069999400729,-16.020699994007295,-2.7134253920482223,0.0071121742233663104,True
Canada,2007,85.0,74.02512808225235,10.974871917747649,1.8620199353378126,0.00693261450964615,True
Iraq,2011,77.0,63.37294511506276,13.627054884937237,2.308877928966298,0.006892799209628072,True
Sierra Leone,2009,47.1,60.8559846583795,-13.755984658379496,-2.330424019120394,0.006694854227995029,True
Lesotho,2003,45.5,58.49316921511152,-12.993169215111521,-2.201463180399987,0.00645943934445358,True
Pakistan,2009,64.8,52.02639136449951,12.773608635500487,2.164363543724518,0.006397725340672984,True
South Africa,2003,54.0,66.57541238682019,-12.57541238682019,-2.1309211165476705,0.0063784978227789235,True
Zimbabwe,2003,44.5,58.78930804424887,-14.28930804424887,-2.4200255777755446,0.006274229068503673,True
Iraq,2012,76.0,63.4193917737891,12.580608226210899,2.131101995516626,0.005779956798610465,True
Malawi,2002,44.0,62.10017960909382,-18.10017960909382,-3.0640459933253044,0.005484651928001531,True
Malawi,2003,44.6,62.00957842320495,-17.409578423204948,-2.9470079310464796,0.005446604019793332,True
Costa Rica,2004,77.7,65.72996967096095,11.970030329039048,2.0275308169624555,0.005270733834602399,True
South Africa,2002,54.9,66.08649288927842,-11.18649288927842,-1.895356564376391,0.005183819689489924,True
Solomon Islands,2005,67.4,55.0556811979104,12.344318802089603,2.0904374810260684,0.0050909924122086786,True
Malawi,2005,46.0,61.448592512607355,-15.448592512607355,-2.614766423589024,0.005071640729128567,True
Costa Rica,2012,79.2,68.77010674569667,10.429893254303337,1.7676721092445624,0.004998627548279696,True
Sierra Leone,2014,48.1,61.10598790575997,-13.005987905759966,-2.2019233447958158,0.004947859864964815,True
Lesotho,2011,52.3,67.36355248344546,-15.063552483445463,-2.5494767301800647,0.004889544676257687,True
